AC ID,Module,FR/BR,Scenario,Priority,Test type,Source,Gherkin
AC-953,MOD-013,FR-150,[STATE-008/STATE-009] Permission denied: Создать связь объектов не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_objects_objectId_links`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `ObjectLink.Create` или требуемой relation
When клиент запрашивает `POST /api/v1/objects/{objectId}/links`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-954,MOD-013,FR-150,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_objects_objectId_links`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/objects/{objectId}/links`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-955,MOD-013,FR-150,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_objects_objectId_links`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_objects_objectId_links` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-956,MOD-013,FR-150,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_objects_objectId_links`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/objects/{objectId}/links` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-957,MOD-013,FR-150,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Создать связь объектов не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_objects_objectId_links`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Создать связь объектов»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-958,MOD-013,FR-150,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_objects_objectId_links`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_objects_objectId_links` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-959,MOD-013,FR-151,Happy path: Удалить связь объектов,Critical,Contract/integration,OpenAPI `DELETE_api_v1_objects_objectId_links_linkId`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `ObjectLink.Delete` и выполнены предусловия
When клиент отправляет `DELETE /api/v1/objects/{objectId}/links/{linkId}` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-960,MOD-013,FR-151,[STATE-008/STATE-009] Permission denied: Удалить связь объектов не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `DELETE_api_v1_objects_objectId_links_linkId`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `ObjectLink.Delete` или требуемой relation
When клиент запрашивает `DELETE /api/v1/objects/{objectId}/links/{linkId}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-961,MOD-013,FR-151,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `DELETE_api_v1_objects_objectId_links_linkId`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `DELETE /api/v1/objects/{objectId}/links/{linkId}`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-962,MOD-013,FR-151,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `DELETE_api_v1_objects_objectId_links_linkId`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `DELETE /api/v1/objects/{objectId}/links/{linkId}` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-963,MOD-013,FR-151,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Удалить связь объектов не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `DELETE_api_v1_objects_objectId_links_linkId`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Удалить связь объектов»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-964,MOD-013,FR-152,Happy path: Заменить теги объекта,Critical,Contract/integration,OpenAPI `PUT_api_v1_objects_objectId_tags`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Tag.Assign` и выполнены предусловия
When клиент отправляет `PUT /api/v1/objects/{objectId}/tags` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-965,MOD-013,FR-152,[STATE-008/STATE-009] Permission denied: Заменить теги объекта не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `PUT_api_v1_objects_objectId_tags`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Tag.Assign` или требуемой relation
When клиент запрашивает `PUT /api/v1/objects/{objectId}/tags`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-966,MOD-013,FR-152,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `PUT_api_v1_objects_objectId_tags`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `PUT /api/v1/objects/{objectId}/tags`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-967,MOD-013,FR-152,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `PUT_api_v1_objects_objectId_tags`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `PUT_api_v1_objects_objectId_tags` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-968,MOD-013,FR-152,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `PUT_api_v1_objects_objectId_tags`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `PUT /api/v1/objects/{objectId}/tags` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-969,MOD-013,FR-152,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Заменить теги объекта не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `PUT_api_v1_objects_objectId_tags`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Заменить теги объекта»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-970,MOD-013,FR-152,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `PUT_api_v1_objects_objectId_tags`; Stage_3_Field_Traceability.csv,"Given первая команда `PUT_api_v1_objects_objectId_tags` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-971,MOD-013,FR-153,Happy path: Список тег,High,Contract/integration,OpenAPI `GET_api_v1_tags`; Stage_3_Field_Traceability.csv,
AC-972,MOD-013,FR-153,[STATE-008/STATE-009] Permission denied: Список тег не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Tag.Read` или требуемой relation
When клиент запрашивает `GET /api/v1/tags`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-973,MOD-013,FR-153,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `GET_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `GET /api/v1/tags`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-974,MOD-013,FR-154,Happy path: Создать тег,Critical,Contract/integration,OpenAPI `POST_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Tag.Manage` и выполнены предусловия
When клиент отправляет `POST /api/v1/tags` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-975,MOD-013,FR-154,[STATE-008/STATE-009] Permission denied: Создать тег не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Tag.Manage` или требуемой relation
When клиент запрашивает `POST /api/v1/tags`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-976,MOD-013,FR-154,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/tags`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-977,MOD-013,FR-154,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_tags` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-978,MOD-013,FR-154,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая контрактная версия/precondition не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/tags` с устаревшей контрактная версия/precondition
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-979,MOD-013,FR-154,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Создать тег не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Создать тег»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-980,MOD-013,FR-154,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_tags`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_tags` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-981,MOD-013,FR-155,Happy path: Переместить тег в корзину,Critical,Contract/integration,OpenAPI `DELETE_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Tag.Manage` и выполнены предусловия
When клиент отправляет `DELETE /api/v1/tags/{id}` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-982,MOD-013,FR-155,[STATE-008/STATE-009] Permission denied: Переместить тег в корзину не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `DELETE_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Tag.Manage` или требуемой relation
When клиент запрашивает `DELETE /api/v1/tags/{id}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-983,MOD-013,FR-155,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `DELETE_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `DELETE /api/v1/tags/{id}`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-984,MOD-013,FR-155,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `DELETE_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `DELETE /api/v1/tags/{id}` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-985,MOD-013,FR-155,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Переместить тег в корзину не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `DELETE_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Переместить тег в корзину»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-986,MOD-013,FR-156,Happy path: Получить тег,High,Contract/integration,OpenAPI `GET_api_v1_tags_id`; Stage_3_Field_Traceability.csv,
AC-987,MOD-013,FR-156,[STATE-008/STATE-009] Permission denied: Получить тег не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Tag.Read` или требуемой relation
When клиент запрашивает `GET /api/v1/tags/{id}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-988,MOD-013,FR-156,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `GET_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `GET /api/v1/tags/{id}`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-989,MOD-013,FR-157,Happy path: Изменить тег,Critical,Contract/integration,OpenAPI `PATCH_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Tag.Manage` и выполнены предусловия
When клиент отправляет `PATCH /api/v1/tags/{id}` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-990,MOD-013,FR-157,[STATE-008/STATE-009] Permission denied: Изменить тег не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `PATCH_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Tag.Manage` или требуемой relation
When клиент запрашивает `PATCH /api/v1/tags/{id}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-991,MOD-013,FR-157,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `PATCH_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `PATCH /api/v1/tags/{id}`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-992,MOD-013,FR-157,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `PATCH_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `PATCH_api_v1_tags_id` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-993,MOD-013,FR-157,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `PATCH_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `PATCH /api/v1/tags/{id}` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-994,MOD-013,FR-157,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Изменить тег не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `PATCH_api_v1_tags_id`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Изменить тег»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-995,MOD-013,FR-158,[STATE-018] Happy path: Восстановить тег,Critical,Contract/integration,OpenAPI `POST_api_v1_tags_id_restore`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Tag.Manage` и выполнены предусловия
When клиент отправляет `POST /api/v1/tags/{id}/restore` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-996,MOD-013,FR-158,[STATE-008/STATE-009/STATE-018] Permission denied: Восстановить тег не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_tags_id_restore`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Tag.Manage` или требуемой relation
When клиент запрашивает `POST /api/v1/tags/{id}/restore`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-997,MOD-013,FR-158,[STATE-018/STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_tags_id_restore`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/tags/{id}/restore`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-998,MOD-013,FR-158,[STATE-007/STATE-018] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_tags_id_restore`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_tags_id_restore` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-999,MOD-013,FR-158,[STATE-014/STATE-018/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_tags_id_restore`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/tags/{id}/restore` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-1000,MOD-013,FR-158,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Восстановить тег не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_tags_id_restore`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Восстановить тег»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-1001,MOD-013,FR-158,[STATE-018/STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_tags_id_restore`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_tags_id_restore` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-1002,MOD-014,FR-159,Happy path: Глобальный авторизационный поиск,High,Contract/integration,OpenAPI `GET_api_v1_search`; Stage_3_Field_Traceability.csv,
AC-1003,MOD-014,FR-159,[STATE-008/STATE-009] Permission denied: Глобальный авторизационный поиск не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_search`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Search.Use` или требуемой relation
When клиент запрашивает `GET /api/v1/search`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-1004,MOD-014,FR-159,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `GET_api_v1_search`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `GET /api/v1/search`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-1005,MOD-014,FR-159,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `GET_api_v1_search`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `GET_api_v1_search` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-1006,MOD-014,FR-160,Happy path: Подсказки по префиксу,High,Contract/integration,OpenAPI `GET_api_v1_search_suggestions`; Stage_3_Field_Traceability.csv,
AC-1007,MOD-014,FR-160,[STATE-008/STATE-009] Permission denied: Подсказки по префиксу не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_search_suggestions`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Search.Use` или требуемой relation
When клиент запрашивает `GET /api/v1/search/suggestions`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-1008,MOD-014,FR-160,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `GET_api_v1_search_suggestions`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `GET /api/v1/search/suggestions`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-1009,MOD-015,FR-161,Happy path: Список уведомление,High,Contract/integration,OpenAPI `GET_api_v1_notifications`; Stage_3_Field_Traceability.csv,
AC-1010,MOD-015,FR-161,[STATE-008/STATE-009] Permission denied: Список уведомление не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_notifications`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Notification.ReadOwn` или требуемой relation
When клиент запрашивает `GET /api/v1/notifications`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-1011,MOD-015,FR-161,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `GET_api_v1_notifications`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `GET /api/v1/notifications`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-1012,MOD-015,FR-162,Happy path: Прочитать все в scope,Critical,Contract/integration,OpenAPI `POST_api_v1_notifications_read_all`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Notification.ReadOwn` и выполнены предусловия
When клиент отправляет `POST /api/v1/notifications/read-all` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-1013,MOD-015,FR-162,[STATE-008/STATE-009] Permission denied: Прочитать все в scope не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_notifications_read_all`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Notification.ReadOwn` или требуемой relation
When клиент запрашивает `POST /api/v1/notifications/read-all`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-1014,MOD-015,FR-162,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_notifications_read_all`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/notifications/read-all`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-1015,MOD-015,FR-162,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Прочитать все в scope не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_notifications_read_all`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Прочитать все в scope»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-1016,MOD-015,FR-162,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_notifications_read_all`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_notifications_read_all` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-1017,MOD-015,FR-163,Happy path: Получить уведомление,High,Contract/integration,OpenAPI `GET_api_v1_notifications_id`; Stage_3_Field_Traceability.csv,
AC-1018,MOD-015,FR-163,[STATE-008/STATE-009] Permission denied: Получить уведомление не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_notifications_id`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Notification.ReadOwn` или требуемой relation
When клиент запрашивает `GET /api/v1/notifications/{id}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
